index,Unnamed: 0,times,temperature,humidity,winddirection,windpower,rains,rains7041JA23,waterlevels7041JA23,rains7041JA24,waterlevels7041JA24,waterlevels
2022-1-1 0:00,24,226,15,95,1,1,0.5,0,1.84,0,1.62,16
2022-1-1 1:00,25,226.01,16,96,7,2,0,0,1.84,0,1.62,40
2022-1-1 2:00,26,226.02,16,91,6,2,0,0,1.83,0,1.62,32
2022-1-1 3:00,27,226.03,16,91,7,1,0,0,1.83,0,1.62,13
2022-1-1 4:00,28,226.04,15,82,6,2,0,0,1.83,0,1.62,1
2022-1-1 5:00,29,226.05,14,81,6,2,0,0,1.83,0,1.61,1
2022-1-1 6:00,30,226.06,14,78,5,3,0,0,1.83,0,1.62,2
2022-1-1 7:00,31,226.07,13,76,6,2,0,0,1.83,0,1.61,3
2022-1-1 8:00,32,226.08,13,76,6,3,0,0,1.83,0,1.61,8
2022-1-1 9:00,33,226.09,13,74,6,2,0,0,1.83,0,1.61,14
2022-1-1 10:00,34,226.1,13,75,6,2,0,0,1.83,0,1.6,36
2022-1-1 11:00,35,226.11,13,78,6,2,0,0,1.83,0,1.6,56
2022-1-1 12:00,36,226.12,12,90,6,3,3,3.5,1.84,0,1.6,84
2022-1-1 13:00,37,226.13,13,89,6,2,2,1.5,1.84,0,1.62,94
2022-1-1 14:00,38,226.14,13,85,6,2,0,0,1.85,0,1.62,106
2022-1-1 15:00,39,226.15,12,86,6,2,0.5,0.5,1.85,0,1.62,110
2022-1-1 16:00,40,226.16,12,86,6,2,0,0.5,1.85,0,1.62,93
2022-1-1 17:00,41,226.17,12,90,6,2,0,0,1.85,0,1.62,67
2022-1-1 18:00,42,226.18,11,91,6,2,0.5,0.5,1.85,0,1.62,35
2022-1-1 19:00,43,226.19,11,92,6,2,0,0.5,1.85,0,1.64,37
2022-1-1 20:00,44,226.2,11,90,6,2,0,0.5,1.86,0,1.64,36
2022-1-1 21:00,45,226.21,11,90,6,2,0,0,1.86,0,1.64,34
2022-1-1 22:00,46,226.22,11,88,6,2,0,0,1.86,0,1.64,28
2022-1-1 23:00,47,226.23,16,96,7,1,0,0,1.86,0,1.64,39
2022-1-2 0:00,48,227,11,89,6,2,1,0.5,1.87,0,1.64,17
2022-1-2 1:00,49,227.01,11,91,5,2,0.5,0.5,1.87,0,1.64,17
2022-1-2 2:00,50,227.02,11,93,6,2,1,1.5,1.87,0,1.65,9
2022-1-2 3:00,51,227.03,11,91,6,2,0.5,0.5,1.87,0,1.65,6
2022-1-2 4:00,52,227.04,11,93,6,2,1.5,1.5,1.88,0,1.65,3
2022-1-2 6:00,53,227.05,11,90,6,2,0,0,1.88,0,1.66,2
2022-1-2 7:00,54,227.06,11,87,6,2,0.5,0.5,1.88,0,1.66,1
2022-1-2 8:00,55,227.07,11,89,6,2,0,0,1.88,0,1.66,8
2022-1-2 9:00,56,227.08,11,89,5,2,0,0,1.88,0,1.66,20
2022-1-2 10:00,57,227.09,11,90,6,2,0.5,0.5,1.88,0,1.66,53
2022-1-2 11:00,58,227.1,12,87,6,2,0,0,1.89,0,1.66,70
2022-1-2 12:00,59,227.11,12,88,6,2,0,0.5,1.89,0,1.66,93
2022-1-2 13:00,60,227.12,13,80,6,3,0,0,1.89,0,1.65,75
2022-1-2 14:00,61,227.13,15,72,6,2,0,0,1.89,0,1.66,59
2022-1-2 15:00,62,227.14,15,69,6,2,0,0,1.89,0,1.65,74
2022-1-2 16:00,63,227.15,15,67,6,2,0,0,1.89,0,1.66,76
2022-1-2 17:00,64,227.16,15,69,6,3,0,0,1.89,0,1.66,65
2022-1-2 18:00,65,227.17,15,67,7,2,0,0,1.89,0,1.66,53
2022-1-2 19:00,66,227.18,14,72,6,2,0,0,1.89,0,1.66,30
2022-1-2 20:00,67,227.19,14,73,6,2,0,0,1.89,0,1.68,22
2022-1-2 21:00,68,227.2,13,74,6,2,0,0,1.89,0,1.67,31
2022-1-2 22:00,69,227.21,13,74,6,2,0,0,1.89,0,1.67,9
2022-1-2 23:00,70,227.22,13,75,6,2,0,0,1.89,0,1.67,8
2022-1-3 0:00,71,227.23,12,86,6,2,0,0,1.89,0,1.67,5
2022-1-3 1:00,72,228,13,78,5,2,0,0,1.89,0,1.67,2
2022-1-3 4:00,73,228.01,13,79,5,2,0,0,1.9,0,1.67,1
2022-1-3 5:00,74,228.02,13,80,5,2,0,0,1.9,0,1.67,3
2022-1-3 6:00,75,228.03,13,79,6,2,0,0,1.9,0,1.68,30
2022-1-3 7:00,76,228.04,13,80,5,2,0,0,1.9,0,1.68,64
2022-1-3 8:00,77,228.05,13,79,6,2,0,0,1.9,0,1.68,154
2022-1-3 9:00,78,228.06,13,79,6,2,0,0,1.9,0,1.68,88
2022-1-3 10:00,79,228.07,13,78,5,2,0,0,1.89,0,1.68,44
2022-1-3 11:00,80,228.08,14,76,5,2,0,0,1.9,0,1.68,51
2022-1-3 12:00,81,228.09,15,72,5,2,0,0,1.9,0,1.68,61
2022-1-3 13:00,82,228.1,16,70,5,2,0,0,1.9,0,1.67,61
2022-1-3 14:00,83,228.11,17,67,5,2,0,0,1.9,0,1.67,77
2022-1-3 15:00,84,228.12,19,65,6,2,0,0,1.9,0,1.67,72
2022-1-3 16:00,85,228.13,20,61,5,2,0,0,1.9,0,1.68,76
2022-1-3 17:00,86,228.14,21,60,5,2,0,0,1.9,0,1.67,157
2022-1-3 18:00,87,228.15,21,60,8,2,0,0,1.9,0,1.67,157
2022-1-3 19:00,88,228.16,20,63,8,2,0,0,1.9,0,1.68,110
2022-1-3 20:00,89,228.17,18,76,1,2,0,0,1.9,0,1.68,52
2022-1-3 21:00,90,228.18,17,81,1,1,0,0,1.9,0,1.68,52
2022-1-3 22:00,91,228.19,16,82,2,1,0,0,1.89,0,1.69,20
2022-1-3 23:00,92,228.2,13,74,6,2,0,0,1.89,0,1.69,12
2022-1-4 0:00,93,228.21,13,74,6,2,0,0,1.89,0,1.68,5
2022-1-4 1:00,94,228.22,13,75,6,2,0,0,1.9,0,1.68,2
2022-1-4 2:00,95,228.23,13,76,5,2,0,0,1.9,0,1.68,1
2022-1-4 4:00,96,301,14,89,2,1,0,0,1.9,0,1.68,2
2022-1-4 5:00,97,301.01,14,90,2,1,0,0,1.9,0,1.68,4
2022-1-4 6:00,98,301.02,14,91,6,1,0,0,1.9,0,1.68,36
2022-1-4 7:00,99,301.03,14,93,7,0,0,0,1.9,0,1.68,94
2022-1-4 8:00,100,301.04,14,94,4,1,0,0,1.9,0,1.68,179
2022-1-4 9:00,101,301.05,14,92,6,1,0,0,1.9,0,1.68,100
2022-1-4 10:00,102,301.06,15,91,4,1,0,0,1.9,0,1.69,42
2022-1-4 11:00,103,301.07,14,94,3,1,0.5,0,1.9,0,1.69,57
